county,cntyname,vtd,Voting District Name,2010 Tract,2010 census pop,alloc factor
42003,Allegheny PA,2360,FRANKLIN PARK WD 02 DIST 01*,4120.01,929,0.287
,,,,4120.02,2313,0.713
42003,Allegheny PA,2361,FRANKLIN PARK WD 02 DIST 02*,4120.02,1379,1
42003,Allegheny PA,2370,FRANKLIN PARK WD 03 DIST 01*,4120.01,1255,1
42003,Allegheny PA,2371,FRANKLIN PARK WD 03 DIST 02*,4120.01,1501,0.949
,,,,4120.02,81,0.051
42003,Allegheny PA,2372,FRANKLIN PARK WD 03 DIST 03*,4120.01,88,0.105
,,,,4120.02,754,0.895
42003,Allegheny PA,2381,FRAZER TWP DIST 01*,4050,1157,1
42003,Allegheny PA,2400,GLASSPORT DIST 01,4993,847,1
42003,Allegheny PA,2411,GLASSPORT DIST 02*,4994,789,1
42003,Allegheny PA,2421,GLASSPORT DIST 03*,4994,960,1
42003,Allegheny PA,2430,GLASSPORT DIST 04*,4993,216,0.451
,,,,4994,263,0.549
42003,Allegheny PA,2440,GLASSPORT DIST 05,4993,511,0.735
,,,,4994,184,0.265
42003,Allegheny PA,2470,GLASSPORT DIST 06,4994,713,1
42003,Allegheny PA,2480,GLENFIELD Voting District*,5638,205,1
42003,Allegheny PA,2491,GREEN TREE DIST 01*,4690,983,1
42003,Allegheny PA,2501,GREEN TREE DIST 02*,4690,1419,1
42003,Allegheny PA,2510,GREEN TREE DIST 03*,4690,1098,1
42003,Allegheny PA,2521,GREEN TREE DIST 04*,4690,932,1
42003,Allegheny PA,2541,HAMPTON TWP DIST 01*,4142,1587,1
42003,Allegheny PA,2550,HAMPTON TWP DIST 02*,4141.01,1545,1
42003,Allegheny PA,2560,HAMPTON TWP DIST 03*,4141.02,1670,1
42003,Allegheny PA,2571,HAMPTON TWP DIST 04*,4141.02,9,0.011
,,,,4142,834,0.989
42003,Allegheny PA,2576,HAMPTON TWP DIST 05*,4142,1029,1
42003,Allegheny PA,2581,HAMPTON TWP DIST 06*,4141.02,786,0.853
,,,,4142,135,0.147
42003,Allegheny PA,2586,HAMPTON TWP DIST 07*,4142,1635,1
42003,Allegheny PA,2591,HAMPTON TWP DIST 08*,4141.01,1154,1
42003,Allegheny PA,2620,HAMPTON TWP DIST 09,4141.01,445,0.267
,,,,4141.02,1221,0.733
42003,Allegheny PA,2625,HARRISON TWP WD 01 DIST 03*,4013,975,1
42003,Allegheny PA,2630,HAMPTON TWP DIST 10,4141.02,2089,1
42003,Allegheny PA,2631,HAMPTON TWP DIST 12*,4141.02,1060,0.998
,,,,4142,2,0.002
42003,Allegheny PA,2640,HAMPTON TWP DIST 11*,4141.01,2214,1
42003,Allegheny PA,2641,HAMPTON TWP DIST 13*,4141.02,205,0.216
,,,,4142,743,0.784
42003,Allegheny PA,2650,HARMAR TWP DIST 01,4190,1291,1
42003,Allegheny PA,2660,HARMAR TWP DIST 02*,4190,1134,1
42003,Allegheny PA,2670,HARMAR TWP DIST 03,4190,496,1
42003,Allegheny PA,2680,HARRISON TWP WD 01 DIST 01*,4012,374,1
42003,Allegheny PA,2690,HARRISON TWP WD 01 DIST 02*,4013,832,1
42003,Allegheny PA,2700,HARRISON TWP WD 02 DIST 01,4012,569,1
42003,Allegheny PA,2710,HARRISON TWP WD 02 DIST 02*,4012,1393,1
42003,Allegheny PA,2730,HARRISON TWP WD 03 DIST 01*,4011,1168,1
42003,Allegheny PA,2740,HARRISON TWP WD 03 DIST 02*,4011,897,1
42003,Allegheny PA,2750,HARRISON TWP WD 04 DIST 01*,4011,1067,1
42003,Allegheny PA,2760,HARRISON TWP WD 04 DIST 02,4011,1002,1
42003,Allegheny PA,2770,HARRISON TWP WD 05 DIST 01,4012,936,1
42003,Allegheny PA,2780,HARRISON TWP WD 05 DIST 02,4011,313,0.251
,,,,4013,935,0.749
42003,Allegheny PA,2790,HAYSVILLE Voting District*,5638,70,1
42003,Allegheny PA,2801,HEIDELBERG DIST 01*,4710,1244,1
42003,Allegheny PA,2821,HOMESTEAD WD 01 DIST 01*,4838,567,1
42003,Allegheny PA,2830,HOMESTEAD WD 01 DIST 02*,4838,430,1
42003,Allegheny PA,2851,HOMESTEAD WD 02 DIST 01*,4838,515,1
42003,Allegheny PA,2870,HOMESTEAD WD 02 DIST 02,4838,394,1
42003,Allegheny PA,2881,HOMESTEAD WD 03 DIST 01*,4838,830,1
42003,Allegheny PA,2900,HOMESTEAD WD 03 DIST 02,4838,429,1
42003,Allegheny PA,2910,INDIANA TWP DIST 01,4150.01,1367,0.987
,,,,4150.02,18,0.013
42003,Allegheny PA,2920,INDIANA TWP DIST 02,4150.01,1208,0.986
,,,,4150.02,17,0.014
42003,Allegheny PA,2930,INDIANA TWP DIST 03,4150.01,2012,1
42003,Allegheny PA,2940,INDIANA TWP DIST 04*,4150.01,121,0.089
,,,,4150.02,1233,0.911
42003,Allegheny PA,2950,INDIANA TWP DIST 05*,4150.02,1277,1
42003,Allegheny PA,2961,INGRAM DIST 01*,4643,1198,1
42003,Allegheny PA,2971,INGRAM DIST 02*,4643,826,1
42003,Allegheny PA,2981,INGRAM DIST 03*,4643,1306,1
42003,Allegheny PA,3000,JEFFERSON HILLS DIST 01,4911.01,1892,1
42003,Allegheny PA,3010,JEFFERSON HILLS DIST 02,4912,14,0.01
,,,,5645,1431,0.99
42003,Allegheny PA,3021,JEFFERSON HILLS DIST 03,4912,853,1
