"county","vtd","tract","bg","cntyname","vtdname","pop10","afact","AFACT2"
"county","vtd","2010 Tract","bg","cntyname","Voting District Name","Total Pop, 2010 census","vtd to bg alloc factor","bg to vtd alloc factor"
"42003","861","4782.00","1","Allegheny PA","BRENTWOOD DIST 09*",772,0.96,0.546 
"42003","861","4782.00","2","Allegheny PA","BRENTWOOD DIST 09*",32,0.04,0.015 
"42003","865","4782.00","2","Allegheny PA","BRENTWOOD DIST 10*",757,0.961,0.352 
"42003","865","4782.00","3","Allegheny PA","BRENTWOOD DIST 10*",31,0.039,0.015 
"42003","871","4571.00","1","Allegheny PA","BRIDGEVILLE DIST 01*",751,0.644,0.984 
"42003","871","4571.00","2","Allegheny PA","BRIDGEVILLE DIST 01*",415,0.356,0.624 
"42003","881","4571.00","1","Allegheny PA","BRIDGEVILLE DIST 02*",12,0.009,0.016 
"42003","881","4571.00","2","Allegheny PA","BRIDGEVILLE DIST 02*",53,0.039,0.08 
"42003","881","4572.00","1","Allegheny PA","BRIDGEVILLE DIST 02*",591,0.436,1 
"42003","881","4572.00","2","Allegheny PA","BRIDGEVILLE DIST 02*",530,0.391,0.626 
"42003","881","4572.00","3","Allegheny PA","BRIDGEVILLE DIST 02*",169,0.125,0.123 
"42003","891","4572.00","2","Allegheny PA","BRIDGEVILLE DIST 03*",317,0.271,0.374 
"42003","891","4572.00","3","Allegheny PA","BRIDGEVILLE DIST 03*",779,0.666,0.565 
"42003","891","4572.00","4","Allegheny PA","BRIDGEVILLE DIST 03*",73,0.062,0.081 
"42003","901","4571.00","2","Allegheny PA","BRIDGEVILLE DIST 04*",197,0.135,0.296 
"42003","901","4572.00","3","Allegheny PA","BRIDGEVILLE DIST 04*",430,0.295,0.312 
"42003","901","4572.00","4","Allegheny PA","BRIDGEVILLE DIST 04*",831,0.57,0.919 
"42003","920","4688.00","2","Allegheny PA","CARNEGIE WD 01 DIST 01",444,0.532,0.623 
"42003","920","4688.00","3","Allegheny PA","CARNEGIE WD 01 DIST 01",390,0.468,0.315 
"42003","930","4687.00","1","Allegheny PA","CARNEGIE WD 01 DIST 02",490,0.305,0.461 
"42003","930","4688.00","2","Allegheny PA","CARNEGIE WD 01 DIST 02",269,0.167,0.377 
"42003","930","4688.00","3","Allegheny PA","CARNEGIE WD 01 DIST 02",848,0.528,0.685 
"42003","940","4687.00","1","Allegheny PA","CARNEGIE WD 01 DIST 03",474,0.405,0.446 
"42003","940","4687.00","2","Allegheny PA","CARNEGIE WD 01 DIST 03",696,0.595,1 
"42003","950","4688.00","1","Allegheny PA","CARNEGIE WD 01 DIST 04",621,1,1 
"42003","961","4687.00","1","Allegheny PA","CARNEGIE WD 02 DIST 01*",99,0.107,0.093 
"42003","961","4689.00","1","Allegheny PA","CARNEGIE WD 02 DIST 01*",602,0.649,0.471 
"42003","961","4689.00","2","Allegheny PA","CARNEGIE WD 02 DIST 01*",42,0.045,0.045 
"42003","961","4689.00","3","Allegheny PA","CARNEGIE WD 02 DIST 01*",185,0.199,0.129 
"42003","980","4689.00","1","Allegheny PA","CARNEGIE WD 02 DIST 02*",445,0.609,0.348 
