"county","vtd","cntyname","vtdname","pop10","afact","AFACT2"
"county","vtd","cntyname","Voting District Name","Total Pop, 2010 census","vtd to vtd alloc factor","vtd to vtd alloc factor"
"42003","1630","Allegheny PA","DORMONT DIST 02*",655,1,1 
"42003","1641","Allegheny PA","DRAVOSBURG DIST 01",814,1,1 
"42003","1660","Allegheny PA","DRAVOSBURG DIST 03",432,1,1 
"42003","1670","Allegheny PA","DRAVOSBURG DIST 02",546,1,1 
"42003","1680","Allegheny PA","DUQUESNE WD 01 DIST 01*",626,1,1 
"42003","1690","Allegheny PA","DUQUESNE WD 01 DIST 02*",865,1,1 
"42003","1700","Allegheny PA","DUQUESNE WD 01 DIST 03",438,1,1 
"42003","1710","Allegheny PA","DUQUESNE WD 01 DIST 04",442,1,1 
"42003","1730","Allegheny PA","DUQUESNE WD 02 DIST 01*",455,1,1 
"42003","1740","Allegheny PA","DUQUESNE WD 02 DIST 02*",709,1,1 
"42003","1750","Allegheny PA","DUQUESNE WD 02 DIST 03*",664,1,1 
"42003","1770","Allegheny PA","DUQUESNE WD 03 DIST 01*",282,1,1 
"42003","1780","Allegheny PA","DUQUESNE WD 03 DIST 02*",280,1,1 
"42003","1790","Allegheny PA","DUQUESNE WD 03 DIST 03*",804,1,1 
"42003","1811","Allegheny PA","EAST DEER TWP WD 01",615,1,1 
"42003","1831","Allegheny PA","EAST DEER TWP WD 02",885,1,1 
"42003","1850","Allegheny PA","EAST MCKEESPORT DIST 01",661,1,1 
"42003","1860","Allegheny PA","EAST MCKEESPORT DIST 02",729,1,1 
"42003","1870","Allegheny PA","EAST MCKEESPORT DIST 03*",736,1,1 
"42003","1880","Allegheny PA","EAST PITTSBURGH WD 01",416,1,1 
"42003","1890","Allegheny PA","EAST PITTSBURGH WD 02*",722,1,1 
"42003","1901","Allegheny PA","EAST PITTSBURGH WD 03",684,1,1 
"42003","1921","Allegheny PA","EDGEWOOD DIST 01*",1139,1,1 
"42003","1931","Allegheny PA","EDGEWOOD DIST 02*",1066,1,1 
"42003","1941","Allegheny PA","EDGEWOOD DIST 03*",913,1,1 
"42003","1960","Allegheny PA","EDGEWORTH DIST 01*",830,1,1 
"42003","1970","Allegheny PA","EDGEWORTH DIST 02*",850,1,1 
"42003","1980","Allegheny PA","ELIZABETH TWP WD 01 DIST 01",753,1,1 
"42003","1981","Allegheny PA","ELIZABETH TWP WD 01 DIST 02*",242,1,1 
"42003","1990","Allegheny PA","ELIZABETH TWP WD 02",1215,1,1 
"42003","2001","Allegheny PA","ELIZABETH TWP WD 03 DIST 02",2054,1,1 
"42003","2010","Allegheny PA","ELIZABETH TWP WD 04 DIST 01",1021,1,1 
"42003","2011","Allegheny PA","ELIZABETH TWP WD 04 DIST 02",753,1,1 
"42003","2020","Allegheny PA","ELIZABETH TWP WD 05",613,1,1 
"42003","2030","Allegheny PA","ELIZABETH TWP WD 06",1764,1,1 
"42003","2040","Allegheny PA","ELIZABETH TWP WD 07",1096,1,1 
"42003","2050","Allegheny PA","ELIZABETH TWP WD 08 DIST 01*",801,1,1 
"42003","2051","Allegheny PA","ELIZABETH TWP WD 08 DIST 02",1153,1,1 
"42003","2060","Allegheny PA","ELIZABETH TWP WD 09*",1806,1,1 
"42003","2071","Allegheny PA","ELIZABETH Voting District*",1493,1,1 
"42003","2090","Allegheny PA","EMSWORTH DIST 01*",1175,1,1 
"42003","2091","Allegheny PA","420032091",921,1,1 
"42003","2100","Allegheny PA","EMSWORTH DIST 02*",1274,1,1 
"42003","2111","Allegheny PA","ETNA WD 01*",1320,1,1 
